,name,album,artists,release_date,duration_ms,popularity,danceability,acousticness,valence,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,id,mode,key,explicit,year
0,"Tum Hi Ho Bandhu (From ""Cocktail"")",Cocktail,Pritam,2012-06-12,282012,51,0.714,0.00145,0.899,0.892,0.000817,0.0462,-5.342,0.0516,134.997,4,2zZTXtLqCsICzEcztKjn47,0,11,False,2012
1,Yaariyaan,Cocktail,Pritam,2012-06-12,377600,35,0.485,0.0735,0.406,0.546,3.05e-05,0.0444,-8.21,0.0303,149.938,4,0DANTgeuWo76sVMUjQqJ9G,1,2,False,2012
2,"Second Hand Jawaani (From ""Cocktail"")",Cocktail,Pritam,2012-06-12,242376,39,0.809,0.0162,0.83,0.831,0.00276,0.0534,-4.043,0.06,112.016,4,61lJAFZuozwBfomLIHKjRS,0,5,False,2012
3,Navrai Majhi,English Vinglish,Amit Trivedi,2012-09-04,262826,40,0.9,0.0764,0.816,0.594,2.97e-05,0.0718,-7.274,0.0552,120.038,4,73b9wDijCUpicQUzrc47EY,1,1,False,2012
4,"Rishte Naate (From ""De Dana Dan"")",40 Unforgettable Bollywood Love Songs,Various Artists,2010-02-09,280267,0,0.607,0.334,0.789,0.865,0.0,0.314,-4.699,0.0925,91.986,4,7wgzJAHVGsXALsuTIRSABV,1,11,False,2010
5,Mitwa,Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2006-06-08,382973,58,0.63,0.295,0.517,0.63,1.26e-05,0.0934,-7.525,0.0364,107.103,4,4BTPzhEsyW3blWcxcuhLM0,1,4,False,2006
6,Kal Ho Naa Ho,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2003-09-20,321240,61,0.532,0.334,0.295,0.529,0.000144,0.078,-8.402,0.0352,81.989,4,251PNRmJU9KcUnFQAB5t6I,1,0,False,2003
7,"Pani Da Rang Male (From ""Vicky Donor"")",Vicky Donor,Various Artists,2012-04-04,240786,47,0.679,0.272,0.483,0.622,6.52e-05,0.106,-8.514,0.0328,98.028,4,6eTPyEkYUmDUFvNxJdNuOD,0,4,False,2012
8,"Tum Mile (From ""Tum Mile"")",Emraan Hashmi: The # 1 Hit Machine,Pritam,2012-03-23,343786,0,0.738,0.319,0.794,0.799,4.89e-06,0.31,-6.663,0.0334,123.011,4,3BI1FqyQYTSCdkmNGnhTcO,1,0,False,2012
9,Socha Hai,Rock On!!,Shankar-Ehsaan-Loy,2008-07-08,251533,0,0.638,0.39,0.452,0.736,0.0,0.13,-5.34,0.031,133.954,4,73VuJUMzYv3ZIWIDZ26Kh1,1,2,False,2008
10,Desi Girl,Dostana (Original Motion Picture Soundtrack),Vishal-Shekhar,2008-10-08,306986,52,0.746,0.0169,0.807,0.924,0.00279,0.097,-6.057,0.0442,136.051,4,3Qpk2qHree1RTH5lZaKnEK,1,8,False,2008
11,"Chor Bazari (From ""Love Aaj Kal "")",Love Aaj Kal,Pritam,2009-06-27,257440,40,0.824,0.368,0.97,0.757,0.000111,0.146,-5.047,0.0743,100.027,4,0SxjmKamCaXEBwuQdiMxor,1,11,False,2009
12,Mundian To Bach Ke,Beware,Panjabi MC,2003-07-01,244632,0,0.773,0.402,0.943,0.879,0.772,0.161,-4.996,0.039,98.04,4,25UnNfvu9b62d2d2eVkrjV,1,11,False,2003
13,O Rey Chhori,Lagaan (Original Motion Picture Soundtrack),A.R. Rahman,2001-04-03,359053,44,0.475,0.467,0.347,0.398,0.0,0.0913,-10.785,0.0502,87.518,4,1HIrOjfpGrONXgylYv9UTk,1,9,False,2001
14,Iktara,Wake Up Sid (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2009-08-21,253773,51,0.616,0.401,0.427,0.525,0.000484,0.309,-7.065,0.0258,79.976,4,3jtKSUiVDowKNBqVQbWaig,1,7,False,2009
15,Mitwa,Lagaan (Original Motion Picture Soundtrack),A.R. Rahman,2001-04-03,407800,47,0.627,0.387,0.694,0.408,0.0,0.126,-7.793,0.0988,172.006,4,4en5tvZ1hIvSGGoRPjIdJE,1,2,False,2001
16,Voh Dekhnay Mein,"London, Paris, New York (Original Motion Picture Soundtrack)",Ali Zafar,2012-01-30,272453,46,0.815,0.491,0.543,0.421,4.41e-06,0.117,-8.125,0.0352,140.01,4,0EMYTe2oQy70PCKPQFlbVy,1,0,False,2012
17,Khabar Nahi,Dostana (Original Motion Picture Soundtrack),Vishal-Shekhar,2008-10-08,259120,46,0.623,0.153,0.436,0.758,0.0,0.0622,-6.641,0.109,90.948,4,7Esjmr77c4SU5IlMtym7Ho,1,7,False,2008
18,"Surili Akhiyon Wale (From ""Veer"")",Veer,Sajid-Wajid,2009-12-21,331758,41,0.514,0.402,0.4,0.574,0.0,0.0965,-5.788,0.0312,75.89,4,2RNCGsAi3ERAf2k2Mhhdyu,1,4,False,2009
19,Sanu Ik Pal/ Tere Bina,Aawargi - The Nomadic Spirit,Kailash Kher,2004-11-19,340943,22,0.598,0.574,0.411,0.476,2.22e-05,0.119,-10.187,0.0318,122.099,4,29C4j8cifr0Szrjz7DMbU4,1,4,False,2004
20,Tera Hone Laga Hoon,Best of Atif Aslam,Atif Aslam,2010-01-01,300068,0,0.682,0.511,0.526,0.769,0.0,0.111,-5.275,0.0306,119.96,4,4FIaVcEAOlgC94YwwPHznL,1,8,False,2010
21,Agar Tum Mil Jao,Best Of Bollywood 2005,Various Artists,2006-03-14,360373,0,0.571,0.245,0.375,0.78,4.65e-05,0.0371,-5.71,0.0504,158.122,4,5sUHhaSEGMEvpbTEkhQHJR,0,11,False,2006
22,Jiya Dhadak Dhadak Jaye,The Best Of Bollywood - The New Millenium - Year 2000 Onwards: 12 Bollywood Hits,Various Artists,2008-11-17,318426,0,0.7,0.179,0.405,0.45,5.68e-05,0.0942,-12.858,0.0359,119.894,4,1W8UYDhgBJZHXmkWAebst2,1,0,False,2008
23,In Dino,Life In A Metro (Original Motion Picture Soundtrack),Pritam,2007-03-17,397026,51,0.406,0.513,0.344,0.633,0.0,0.116,-6.989,0.0379,101.436,4,6YycppSAeGtSvwmu8qCcr2,1,0,False,2007
24,Ishq Wala Love,Student of the Year (Original Motion Picture Soundtrack),Vishal-Shekhar,2012-08-31,257973,60,0.711,0.533,0.694,0.295,4.8e-05,0.0782,-12.377,0.0334,135.048,4,1hQia6rxgfM1ly2hE3StWp,0,0,False,2012
25,Ghanan Ghanan,Lagaan (Original Motion Picture Soundtrack),A.R. Rahman,2001-04-03,371400,43,0.607,0.426,0.41,0.562,0.0,0.101,-9.388,0.33,171.804,4,6B3Fr3kIWOOde0dFZPNDFp,0,4,False,2001
26,Ek Ladki Ko Dekha,Best Of Kumar Sanu,Kumar Sanu,2005-08-23,277600,0,0.532,0.577,0.835,0.493,0.0,0.0852,-10.611,0.0313,81.286,4,71iBhbuK5iQzlwExfDGn0e,1,10,False,2005
27,Gal Mitthi Mitthi,Aisha (Original Motion Picture Soundtrack),Amit Trivedi,2010-07-05,255906,51,0.906,0.13,0.938,0.699,0.0165,0.178,-5.526,0.0462,129.946,4,4J9n7thOdqi8gxRGNyQoVC,1,0,False,2010
28,Bahara,I Hate Luv Storys (Original Motion Picture Soundtrack),Vishal-Shekhar,2010-05-25,325706,55,0.456,0.0718,0.72,0.739,7.24e-06,0.134,-6.733,0.0402,85.773,4,1gwO79MdYdumgIjxq8eCxB,1,5,False,2010
29,Brown Rang,International Villager,Yo Yo Honey Singh,2011-11-11,211394,38,0.804,0.265,0.72,0.902,0.000413,0.0651,-3.067,0.0846,155.98,4,6NTwjo8MMAg0Ht2OlKdDir,0,11,False,2011
30,Angreji Beat,International Villager,Yo Yo Honey Singh,2011-11-11,256000,33,0.851,0.204,0.255,0.998,0.00102,0.0653,-1.558,0.301,119.961,4,37IZPXJXnDrRxUldlSSoYg,1,9,False,2011
31,Tujhe Bhula Diya,Fresh Brewed,Chai-Town,2012-03-10,198666,0,0.712,0.84,0.552,0.313,0.0,0.0689,-10.985,0.0601,129.95,4,74HWVN9zdPfLDe18N34JCV,0,11,False,2012
32,Ishq Shava,Jab Tak Hai Jaan,A.R. Rahman,2012-10-09,269903,0,0.733,0.109,0.963,0.902,0.0212,0.0704,-7.271,0.0441,143.975,4,466IkmZ6ulILfkh1JuhL4t,0,6,False,2012
33,Halkat Jawani,Heroine (Original Motion Picture Soundtrack),Salim–Sulaiman,2012-06-24,238426,44,0.71,0.108,0.908,0.812,2.14e-06,0.465,-2.497,0.119,131.983,4,2h1d6XPdBms5i7YwyfOO7q,0,6,False,2012
34,Pehli Nazar Mein,Best of Atif Aslam,Atif Aslam,2010-01-01,313600,0,0.508,0.229,0.686,0.554,0.0,0.105,-5.571,0.0711,169.96,4,2pM8j84iXZseajba72ctj8,1,9,False,2010
35,Maa Tujhe Salaam - Live,Vande Mataram,A.R. Rahman,1997-09-26,374666,43,0.708,0.141,0.383,0.526,0.00141,0.105,-11.187,0.0314,127.485,4,3aozKh1z4SSZXAm7TpcXtk,1,10,False,1997
36,Chale Chalo,Lagaan (Original Motion Picture Soundtrack),A.R. Rahman,2001-04-03,400440,42,0.756,0.124,0.519,0.41,0.0,0.1,-11.285,0.0874,95.011,4,0OJzFLposMXdRHIHiWq28a,1,6,False,2001
37,"Haule Haule (From ""Rab Ne Bana Di Jodi"")",Flavours Of Romance-Valentine's Day Vol. 1,Various Artists,2013-02-06,263967,0,0.712,0.541,0.96,0.776,2.17e-06,0.0896,-7.424,0.213,89.934,4,7bDhbTAVCuimpBF0O2izM5,0,5,False,2013
38,Lakshya,Lakshya (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2004-04-26,375706,50,0.64,0.0616,0.727,0.743,2.01e-05,0.25,-6.612,0.0524,94.972,4,7o1yzUVkQt2Gto5yYvzo2T,1,5,False,2004
39,Bewafa,Unforgettable,Imran Khan,2009-07-27,224853,0,0.704,0.594,0.0739,0.563,0.0,0.133,-4.739,0.0297,94.037,4,5KOHWHZc5RWUQvCyTPMzkx,0,4,False,2009
40,Zara Sa,Jannat (Original Motion Picture Soundtrack),Pritam,2008-03-07,303680,58,0.467,0.12,0.696,0.91,0.000308,0.271,-3.057,0.0516,163.792,4,18YHbIhrleUkKKj2DvEp79,0,11,False,2008
41,Aa Bhi Ja Sanam,Best of Atif Aslam,Atif Aslam,2010-01-01,188238,0,0.248,0.214,0.251,0.692,2.52e-05,0.174,-5.201,0.0476,86.605,3,77K0PZT05HU6sVB9mv1wVF,0,9,False,2010
42,"Naina (From ""Omkara"")",Omkara (Original Motion Pictures),Vishal Bhardwaj,2006-06-01,409626,27,0.63,0.157,0.485,0.569,1.83e-05,0.106,-8.435,0.0372,134.203,4,0OlOqcPE9o9fYiF7ZiGMRX,0,11,False,2006
